duration,protocol,src_port,dst_port,fwd_tot_pkt,fwd_tot_byte,bwd_tot_pkt,bwd_tot_byte,fwd_pkt_size_mean,fwd_pkt_size_std,fwd_pkt_size_skewness,fwd_pkt_size_kurtosis,fwd_pkt_size_min,fwd_pkt_size_max,bwd_pkt_size_mean,bwd_pkt_size_std,bwd_pkt_size_skewness,bwd_pkt_size_kurtosis,bwd_pkt_size_min,bwd_pkt_size_max,fwd_iat_mean,fwd_iat_std,fwd_iat_skewness,fwd_iat_kurtosis,fwd_iat_min,fwd_iat_max,bwd_iat_mean,bwd_iat_std,bwd_iat_skewness,bwd_iat_kurtosis,bwd_iat_min,bwd_iat_max,fwd_FIN_cnt,fwd_SYN_cnt,fwd_RST_cnt,fwd_PUSH_cnt,fwd_ACK_cnt,fwd_URG_cnt,fwd_CWE_cnt,fwd_ECE_cnt,bwd_FIN_cnt,bwd_SYN_cnt,bwd_RST_cnt,bwd_PUSH_cnt,bwd_ACK_cnt,bwd_URG_cnt,bwd_CWE_cnt,bwd_ECE_cnt
0.048315,TCP,49202,80,5,498,4,240,99.6,61.69149049909557,1.438287966725276,0.17683769604867328,54,222,60.0,0.0,0,-3.0,60,60,0.0095024,0.01898130565161417,1.4999977674819835,0.24999702138137225,0.0,0.047465,0.0002007499999999988,0.0001126573899040813,1.1234551089349065,-0.6898908398275934,0.00011999999999999511,0.00039500000000000006,0,0,0,4,3,0,1,0,0,0,0,4,0,0,1,0
0.047839,TCP,49204,80,5,497,4,240,99.4,61.77248578453033,1.4407470076170668,0.17967374797604574,54,222,60.0,0.0,0,-3.0,60,60,0.0094452,0.018861904330157123,1.4999982783931969,0.2499977039262058,0.0,0.047169,0.00015324999999999898,0.00010860104741668036,0.9166088182002062,-0.8024782272508442,4.699999999999995e-05,0.0003349999999999998,0,0,0,4,3,0,1,0,0,0,0,4,0,0,1,0
0.047384,TCP,49206,80,5,498,4,240,99.6,61.69149049909557,1.438287966725276,0.17683769604867328,54,222,60.0,0.0,0,-3.0,60,60,0.009384400000000001,0.018481106304547898,1.4994720901520726,0.24928894706047933,0.0,0.046344,0.00011549999999999928,3.353729267546814e-05,0.12961588863208592,-1.0588728294613745,7.000000000000018e-05,0.00016400000000000008,0,0,0,4,3,0,1,0,0,0,0,4,0,0,1,0
0.046613,TCP,49208,80,5,498,4,240,99.6,61.69149049909557,1.438287966725276,0.17683769604867328,54,222,60.0,0.0,0,-3.0,60,60,0.009202800000000002,0.018369608405189263,1.4999965690860135,0.24999542284827125,0.0,0.045942000000000004,0.0001497499999999995,5.951627928558743e-05,0.42990391429589553,-1.4131581342088493,8.90000000000001e-05,0.00023799999999999993,0,0,0,4,3,0,1,0,0,0,0,4,0,0,1,0
0.046182,TCP,49210,80,5,497,4,240,99.4,61.77248578453033,1.4407470076170668,0.17967374797604574,54,222,60.0,0.0,0,-3.0,60,60,0.009131,0.018227008278924987,1.4999965941668527,0.24999545637574894,0.0,0.045585,0.00013174999999999981,7.891253069063244e-05,0.6726405259327898,-1.1155029476296783,5.3999999999999795e-05,0.00025699999999999985,0,0,0,4,3,0,1,0,0,0,0,4,0,0,1,0
0.045819000000000006,TCP,49212,80,5,498,4,240,99.6,61.69149049909557,1.438287966725276,0.17683769604867328,54,222,60.0,0.0,0,-3.0,60,60,0.0090722,0.018109415290395215,1.499993670307477,0.24999155106449855,0.0,0.045291,0.00011450000000000154,7.307017175291075e-05,0.9481982904620522,-0.8413966824875061,5.1000000000000264e-05,0.00023700000000000023,0,0,0,4,3,0,1,0,0,0,0,4,0,0,1,0
0.045494,TCP,49214,80,5,498,4,240,99.6,61.69149049909557,1.438287966725276,0.17683769604867328,54,222,60.0,0.0,0,-3.0,60,60,0.009020799999999999,0.01802760132019787,1.4999994508206418,0.24999926755814572,0.0,0.045076,9.74999999999996e-05,8.57161011712503e-05,1.0610888259334963,-0.7273235536910256,2.599999999999998e-05,0.00024399999999999986,0,0,0,4,3,0,1,0,0,0,0,4,0,0,1,0
0.04518,TCP,49216,80,5,497,4,240,99.4,61.77248578453033,1.4407470076170668,0.17967374797604574,54,222,60.0,0.0,0,-3.0,60,60,0.008969,0.017924001327828558,1.4999994444541829,0.2499992590659983,0.0,0.044816999999999996,8.375000000000027e-05,5.14993932003082e-05,1.0809223167163593,-0.7198026866032587,4.30000000000005e-05,0.0001719999999999994,0,0,0,4,3,0,1,0,0,0,0,4,0,0,1,0
0.044978,TCP,49218,80,5,498,4,240,99.6,61.69149049909557,1.438287966725276,0.17683769604867328,54,222,60.0,0.0,0,-3.0,60,60,0.0089254,0.017837801407124144,1.4999994084403654,0.24999921100969358,0.0,0.044601,8.77499999999995e-05,5.139248485917003e-05,0.6406951340633008,-0.9293012861445851,2.8999999999999512e-05,0.00017,0,0,0,4,3,0,1,0,0,0,0,4,0,0,1,0
0.044815,TCP,49220,80,6,551,5,300,91.83333333333333,44.5099863950652,1.5972858322021437,0.8861486098840228,54,189,60.0,0.0,0,-3.0,60,60,0.007418333333333332,0.016567328095448045,1.788853260856567,1.199997993851099,0.0,0.044464,6.1000000000000114e-05,3.915609786482811e-05,0.479607189467955,-1.6196722218633628,2.599999999999998e-05,0.00011900000000000018,0,0,0,5,4,0,1,0,0,0,0,5,0,0,1,0
0.044546,TCP,49222,80,6,552,5,300,92.0,44.44472222135417,1.594794285013711,0.8841285176645384,54,189,60.0,0.0,0,-3.0,60,60,0.007376666666666667,0.01648041888289116,1.7888535986917886,1.1999985983222725,0.0,0.044227999999999996,5.720000000000083e-05,3.484479875103333e-05,1.06824696080587,-0.4397440830083017,2.7000000000000114e-05,0.00012200000000000058,0,0,0,5,4,0,1,0,0,0,0,5,0,0,1,0
0.044413999999999995,TCP,49224,80,6,552,5,300,92.0,44.44472222135417,1.594794285013711,0.8841285176645384,54,189,60.0,0.0,0,-3.0,60,60,0.007337,0.01639172152846267,1.788853590192421,1.1999985831107365,0.0,0.04399,7.839999999999948e-05,5.6775346762480585e-05,0.633177366884905,-1.2848962385076588,2.499999999999985e-05,0.00017099999999999754,0,0,0,5,4,0,1,0,0,0,0,5,0,0,1,0
0.044169,TCP,49226,80,6,551,5,300,91.83333333333333,44.5099863950652,1.5972858322021437,0.8861486098840228,54,189,60.0,0.0,0,-3.0,60,60,0.007304333333333334,0.016318676454364252,1.7888536787879359,1.1999987416765512,0.0,0.043794,6.859999999999939e-05,5.137158747790375e-05,1.0674155411522948,-0.4612213589535874,2.599999999999998e-05,0.00016399999999999748,0,0,0,5,4,0,1,0,0,0,0,5,0,0,1,0
0.043951000000000004,TCP,49228,80,6,551,5,300,91.83333333333333,44.5099863950652,1.5972858322021437,0.8861486098840228,54,189,60.0,0.0,0,-3.0,60,60,0.007261666666666666,0.0162232708957089,1.7888536704933737,1.1999987268320504,0.0,0.04353799999999999,7.62000000000011e-05,4.477231287302607e-05,0.8443953185008167,-0.5209820240971204,2.499999999999985e-05,0.00015700000000000436,0,0,0,5,4,0,1,0,0,0,0,5,0,0,1,0
0.043732,TCP,49230,80,6,550,5,300,91.66666666666667,44.57827074059987,1.5992757118433683,0.8872665600567209,54,189,60.0,0.0,0,-3.0,60,60,0.007219166666666666,0.016119745711566158,1.7888512882498862,1.1999944618777825,0.0,0.043264,8.340000000000135e-05,4.765962651972991e-05,0.3089104857120911,-1.5722790835423341,2.599999999999998e-05,0.0001510000000000053,0,0,0,5,4,0,1,0,0,0,0,5,0,0,1,0
0.043452000000000005,TCP,49232,80,6,551,5,300,91.83333333333333,44.5099863950652,1.5972858322021437,0.8861486098840228,54,189,60.0,0.0,0,-3.0,60,60,0.007183499999999999,0.01604043558999152,1.7888534018157465,1.1999982461567242,0.0,0.043051,7.020000000000134e-05,5.571857858919311e-05,0.48902670341515325,-1.6562466137364675,2.4000000000000583e-05,0.00015200000000000023,0,0,0,5,4,0,1,0,0,0,0,5,0,0,1,0
0.043153,TCP,49234,80,6,550,5,300,91.66666666666666,44.58200932613464,1.5986627436433538,0.886139296019198,54,189,60.0,0.0,0,-3.0,60,60,0.007141000000000001,0.01594942719974608,1.788853609955044,1.1999986186405929,0.0,0.042805,6.139999999999896e-05,3.683802383407567e-05,0.4045052255967705,-1.668483197956909,2.499999999999985e-05,0.00011399999999999605,0,0,0,5,4,0,1,0,0,0,0,5,0,0,1,0
0.042908999999999996,TCP,49236,80,6,551,5,300,91.83333333333333,44.5099863950652,1.5972858322021437,0.8861486098840228,54,189,60.0,0.0,0,-3.0,60,60,0.007096,0.015849698588090985,1.7888535948823694,1.199998591623478,0.0,0.042537000000000005,6.65999999999993e-05,4.6318894632751655e-05,0.488868234204099,-1.5871568220361605,2.499999999999985e-05,0.00013599999999999984,0,0,0,5,4,0,1,0,0,0,0,5,0,0,1,0
